Concentration,Forecast
4.9e-05,6.673367240650661e-05
9.5e-05,6.060013865261284e-05
9.1e-05,6.550696565572786e-05
4.4e-05,5.528440939923823e-05
5e-05,5.569331164949782e-05
4.2e-05,5.732892065053616e-05
4.4e-05,5.998678527722346e-05
8e-05,5.507995827410844e-05
4.3e-05,5.528440939923823e-05
4.3e-05,5.5488860524368025e-05
8e-05,5.671556727514678e-05
8.1e-05,5.651111615001699e-05
4.8e-05,6.530251453059807e-05
4.2e-05,5.507995827410844e-05
6.5e-05,5.671556727514678e-05
8e-05,6.305355215417035e-05
9.1e-05,5.998678527722346e-05
5.7e-05,6.775592803215558e-05
4.8e-05,6.530251453059807e-05
4.1e-05,5.569331164949782e-05
6.5e-05,5.528440939923823e-05
0.000106,6.080458977774263e-05
6.2e-05,5.507995827410844e-05
4.6e-05,5.855562740131491e-05
4.6e-05,5.61022138997574e-05
5.8e-05,5.855562740131491e-05
4.1e-05,6.305355215417035e-05
7.2e-05,6.284910102904056e-05
4.4e-05,5.5488860524368025e-05
4.4e-05,5.814672515105533e-05
4.6e-05,5.507995827410844e-05
6e-05,5.507995827410844e-05
4.3e-05,5.569331164949782e-05
7.2e-05,6.284910102904056e-05
4.6e-05,5.855562740131491e-05
4.2e-05,5.528440939923823e-05
4.1e-05,5.7124469525406365e-05
4.5e-05,5.528440939923823e-05
4.2e-05,5.589776277462761e-05
6e-05,5.7124469525406365e-05
7.9e-05,6.305355215417035e-05
8e-05,5.753337177566595e-05
4.8e-05,5.528440939923823e-05
4.4e-05,5.528440939923823e-05
4.2e-05,5.978233415209367e-05
4.2e-05,5.978233415209367e-05
6.8e-05,5.507995827410844e-05
4.8e-05,6.530251453059807e-05
4.4e-05,5.7124469525406365e-05
4.9e-05,5.835117627618512e-05
4.4e-05,5.998678527722346e-05
4.5e-05,5.5488860524368025e-05
6.7e-05,5.9577883026963875e-05
6.4e-05,5.692001840027657e-05
5e-05,5.589776277462761e-05
4.1e-05,5.9577883026963875e-05
4.6e-05,5.7124469525406365e-05
6.5e-05,5.507995827410844e-05
5.6e-05,5.814672515105533e-05
4.1e-05,5.507995827410844e-05
5.8e-05,6.141794315313201e-05
6.9e-05,6.836928140754495e-05
6.1e-05,6.0395687527483045e-05
6.1e-05,6.0395687527483045e-05
